stationid,lat,lon,name,state,elevation,distance,rating
40203,45.30917,-66.00916000000001,"50, Mountain Road, City of Saint John, Saint John County, New Brunswick / Nouveau-Brunswick, E2J 2S6, Canada",New Brunswick / Nouveau-Brunswick,-1000000,4,0.9132075471698113
40207,45.253330000000005,-66.08028,"Hillcrest Baptist Church, Lancaster Avenue, Fundy Heights, Saint John West, City of Saint John, Saint John County, New Brunswick / Nouveau-Brunswick, E2M 1G2, Canada",New Brunswick / Nouveau-Brunswick,-1000000,1,0.9152658662092624
40302,46.11000000000001,-64.79,"Francophonie Street, Moncton, Moncton Parish, Westmorland County, New Brunswick / Nouveau-Brunswick, E1A 9V7, Canada",New Brunswick / Nouveau-Brunswick,-1000000,16,0.9111492281303601
41302,47.609170000000006,-65.63306,"Narcisse Lane, City of Bathurst, Bathurst Parish, Gloucester County, New Brunswick / Nouveau-Brunswick, E2A 1Y2, Canada",New Brunswick / Nouveau-Brunswick,-1000000,2,0.9166380789022298
50311,46.774170000000005,-71.36945,"École Primaire les Primevères, Rue Félix-Antoine-Savard, Aéroport, Sainte-Foy–Sillery–Cap-Rouge, Québec, Québec (Agglomération), Capitale-Nationale, Québec, G2G 2R2, Canada",Québec,-1000000,14,0.9224699828473414
60204,42.31417,-83.04305000000001,"Bruce Avenue, Windsor, Southwestern Ontario, Ontario, N9A 5P8, Canada",Ontario,-1000000,636,0.9183533447684391
60304,44.21972,-76.52111000000001,"724, King Street West, Portsmouth, Kingston, Eastern Ontario, Ontario, K7M 2J9, Canada",Ontario,-1000000,426,0.9149228130360205
60610,46.491670000000006,-81.00305,"Jubilee Centre, Applegrove Street, Greater Sudbury, Sudbury District, Northeastern Ontario, Ontario, P3C 1N2, Canada",Ontario,-1000000,525,0.9132075471698113
60709,46.533060000000006,-84.30917000000001,"Sault College, Sault College Laneway, Sault Ste. Marie, Algoma District, Northeastern Ontario, Ontario, P6B 4Z5, Canada",Ontario,243.05,592,0.9121783876500857
60904,42.97444,-81.20084000000001,"15, Tommy Hunter Way, London, Southwestern Ontario, Ontario, N5Z 1V5, Canada",Ontario,244.85,561,0.9193825042881647
61104,44.3,-78.35000000000001,"Peterborough Regional Health Centre, 1, Hospital Drive, Peterborough, Central Ontario, Ontario, K9J 7C6, Canada",Ontario,-1000000,527,0.9221269296740995
61201,45.02917,-74.73917,"134, Eleventh Street West, Cornwall, Eastern Ontario, Ontario, K6H 6R3, Canada",Ontario,52.88,339,0.9197255574614065
61302,43.158060000000006,-79.235,"105, Westchester Avenue, St. Catharines, Niagara Region, Golden Horseshoe, Ontario, L2R 3M1, Canada",Ontario,104.94,478,0.9049742710120069
