stationid,lat,lon,name,state,elevation,distance,rating
370510010,35.00139,-78.99055,"John Griffin Middle School, 5551, Fisher Road, Bluesprings Woods, Fayetteville, Cumberland County, North Carolina, 28304, United States",North Carolina,57.29,130,0.6536899928349653
370630015,35.99167,-78.89639,"414, East Main Street, Downtown Durham, Durham, Durham County, North Carolina, 27701, United States",North Carolina,122.47,181,0.6665870551707667
370630099,35.88917,-78.87444,"Research Triangle Park, Durham County, North Carolina, 27709, United States",North Carolina,97.69,175,0.8349653689992835
370650099,35.98889,-77.58667,"Leggett Chapel Baptist Church, 406, NC 97, Leggett, Edgecombe County, North Carolina, 27886, United States",North Carolina,17.1,77,0.6544064962980655
370670022,36.11056,-80.22667,"1227, North Dunleith Avenue, Winston-Salem, Forsyth County, North Carolina, 27101, United States",North Carolina,278.36,291,0.6966802006209697
370670030,36.02583,-80.34167,"Fraternity Church Road, Muddy Creek, Forsyth County, North Carolina, 27127, United States",North Carolina,244.44,288,0.7176976355385718
370671008,36.05056,-80.14389,"3424, Piedmont Memorial Drive, Winston-Salem, Forsyth County, North Carolina, 27107, United States",North Carolina,285.25,281,0.70002388344877
370750001,35.25778,-83.79556,"Joanna Bald Fire Tower, National Forest Road, Graham County, North Carolina, United States",North Carolina,1433.41,411,0.6716025794124671
370770001,36.14056,-78.76917,"160, West G Street, Butner, Granville County, North Carolina, 27509, United States",North Carolina,117.09,176,0.6680200620969667
370810013,36.10917,-79.80083,"Mendenhall School, Willoughby Boulevard, Brookwood Gardens, Greensboro, Guilford County, North Carolina, 27408, United States",North Carolina,241.43,262,0.6527346548841653
370870008,35.50694,-82.96333,"Asheville Road, Waynesville, Haywood County, North Carolina, 28786, United States",North Carolina,789.44,387,0.6711249104370671
370870035,35.37917,-82.7925,"Cold Mountain, Blue Ridge Parkway, Transylvania County, North Carolina, United States",North Carolina,1418.8,367,0.6651540482445666
370870036,35.58694,-83.07528,"Science Center Trail, Haywood County, North Carolina, United States",North Carolina,1513.82,400,0.6716025794124671
371010002,35.5,-78.4375,"South Hawkins Ridge Lane, Johnston County, North Carolina, United States",North Carolina,66.28,131,0.6627657033675662
371070004,35.235,-77.57306,"Trustee Court, Kinston, Lenoir County, North Carolina, 28502, United States",North Carolina,11.6,55,0.6329113924050633
371090004,35.43806,-81.27528,"1339, Riverview Road, Laboratory, Lincoln County, North Carolina, 28092, United States",North Carolina,267.04,293,0.6725579173632672
371139991,35.06056,-83.43056,"Coweeta Hydrologic Laboratory, Coweeta Lab Admin Road, Macon County, North Carolina, 28763, United States",North Carolina,686.37,372,0.9266778122760927
371170001,35.81083,-76.90667,"1299, Hayes Drive, Jamesville, Martin County, North Carolina, 27846, United States",North Carolina,14.03,21,0.6343443993312634
